,cat_id,cat_name,cat_title,cat_description,cat_num_tokens,cat_market_cap,coin_id,coin_name,coin_sym,date_added,platform_name,token_address,is_active
43,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8848,Apestrong finance,APE,2021-03-17T00:00:00.000Z,BNB Smart Chain (BEP20),0xbfd905c84dd6e408f17a7e18f7fbc5864c935a31,0
44,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16659,Crystal Of Dragon,COD,2021-12-30T02:46:06.000Z,BNB Smart Chain (BEP20),0x8D8800687afeA249451734Af243A8983c8C2a9E5,1
45,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9879,Exohood,EXO,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x7d10b6157c7c577caa62d319dc215209cf2db8c3,1
46,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8853,Brickchain Finance,BRICK,2021-03-17T00:00:00.000Z,BNB Smart Chain (BEP20),0xc4daa5a9f2b832ed0f9bc579662883cd53ea9d61,1
47,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16710,MetaBUSDCoin,MBC,2021-12-31T12:06:12.000Z,BNB Smart Chain (BEP20),0xf14d3692b0055db9ca4c04065165d59b87e763f1,1
48,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9880,SafeJupiter $SFJP,SFJP,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x01efdf57e1a809e24295af52284fc167dba3cd29,0
49,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10558,Popit.Farm,POPIT,2021-06-22T00:00:00.000Z,BNB Smart Chain (BEP20),0x307e77693a4eeb883bf69425f36dc472c93f6d7d,0
50,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16742,Monster Galaxy,GGM,2022-01-03T04:00:52.000Z,None,None,1
51,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9882,Pegazus finance,PEG,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0xD585F9C5953CA97DA3551f20725a274c9e442ff3,0
52,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16751,Infinity Skies,ISKY,2022-01-03T04:24:36.000Z,None,None,1
